,연도,요일,월,일
0,2002,토요일,1,1
1,2002,일요일,1,2
2,2002,월요일,1,3
3,2002,화요일,1,4
4,2002,수요일,1,5
5,2002,목요일,1,6
6,2002,금요일,1,7
7,2002,토요일,1,8
8,2002,일요일,1,9
9,2002,월요일,1,10
10,2002,화요일,1,11
11,2002,수요일,1,12
12,2002,목요일,1,13
13,2002,금요일,1,14
14,2002,토요일,1,15
15,2002,일요일,1,16
16,2002,월요일,1,17
17,2002,화요일,1,18
18,2002,수요일,1,19
19,2002,목요일,1,20
20,2002,금요일,1,21
21,2002,토요일,1,22
22,2002,일요일,1,23
23,2002,월요일,1,24
24,2002,화요일,1,25
25,2002,수요일,1,26
26,2002,목요일,1,27
27,2002,금요일,1,28
28,2002,토요일,1,29
29,2002,일요일,1,30
30,2002,월요일,1,31
31,2002,화요일,2,1
32,2002,수요일,2,2
33,2002,목요일,2,3
34,2002,금요일,2,4
35,2002,토요일,2,5
36,2002,일요일,2,6
37,2002,월요일,2,7
38,2002,화요일,2,8
39,2002,수요일,2,9
40,2002,목요일,2,10
41,2002,금요일,2,11
42,2002,토요일,2,12
43,2002,일요일,2,13
44,2002,월요일,2,14
45,2002,화요일,2,15
46,2002,수요일,2,16
47,2002,목요일,2,17
48,2002,금요일,2,18
49,2002,토요일,2,19
50,2002,일요일,2,20
51,2002,월요일,2,21
52,2002,화요일,2,22
53,2002,수요일,2,23
54,2002,목요일,2,24
55,2002,금요일,2,25
56,2002,토요일,2,26
57,2002,일요일,2,27
58,2002,월요일,2,28
59,2002,화요일,3,1
60,2002,수요일,3,2
61,2002,목요일,3,3
62,2002,금요일,3,4
63,2002,토요일,3,5
64,2002,일요일,3,6
65,2002,월요일,3,7
66,2002,화요일,3,8
67,2002,수요일,3,9
68,2002,목요일,3,10
69,2002,금요일,3,11
70,2002,토요일,3,12
71,2002,일요일,3,13
72,2002,월요일,3,14
73,2002,화요일,3,15
74,2002,수요일,3,16
75,2002,목요일,3,17
76,2002,금요일,3,18
77,2002,토요일,3,19
78,2002,일요일,3,20
79,2002,월요일,3,21
80,2002,화요일,3,22
81,2002,수요일,3,23
82,2002,목요일,3,24
83,2002,금요일,3,25
84,2002,토요일,3,26
85,2002,일요일,3,27
86,2002,월요일,3,28
87,2002,화요일,3,29
88,2002,수요일,3,30
